  Number     Name    CFNHWG0001  CVODGT0002  CPXIJU0003  CETDXH0004  CGCCDR0005  CGARWR0006  CPAKQS0007  CEZNMQ0008  CVECRX0009  CHFWUG0010  CMSONV0011  CELMFZ0012  CBIIFR0013  CAOKHQ0014  CGJAPT0015  CZUTDS0016  CJAKDJ0017  CZMWTL0018  COPJOP0019  CFPHJF0020 
 20220211  KLVC0211      No          No          No          No          No          No          No          No          Yes         No          Yes         No          No          No          No          No          Yes         Yes         Yes         No     
 20220212  KGXY0212      Yes         No          No          No          No          No          Yes         No          Yes         Yes         No          No          Yes         Yes         No          No          No          Yes         No          No     
 20220213  EQNB0213      Yes         Yes         No          No          No          No          No          No          Yes         No          No          No          No          Yes         No          No          No          Yes         Yes         No     
 20220214  AHPB0214      No          No          Yes         Yes         No          Yes         No          No          Yes         No          Yes         No          No          Yes         No          No          No          No          No          No     
 20220215  PMAF0215      No          No          No          No          No          No          Yes         Yes         No          No          No          No          No          Yes         No          Yes         Yes         No          No          Yes    
 20220216  HQOH0216      No          No          Yes         Yes         No          Yes         Yes         No          Yes         Yes         No          No          Yes         No          No          No          No          No          No          No     
 20220217  SIKX0217      No          No          No          No          Yes         Yes         No          No          No          Yes         Yes         No          Yes         No          Yes         No          Yes         No          No          No     
 20220218  OUGY0218      No          No          Yes         No          No          Yes         No          Yes         No          No          No          Yes         Yes         No          No          No          No          No          No          No     
 20220219  QPKM0219      No          No          Yes         No          Yes         No          Yes         No          No          No          No          No          No          Yes         No          No          Yes         No          Yes         No     
 20220220  ZDGZ0220      No          No          No          No          Yes         Yes         No          No          No          Yes         No          No          Yes         Yes         No          No          No          No          No          No     
 20220221  AJHO0221      No          No          No          No          No          No          No          Yes         Yes         No          No          No          No          No          Yes         No          Yes         No          No          Yes    
 20220222  RAGJ0222      Yes         No          No          Yes         No          No          No          No          Yes         No          No          No          Yes         No          No          No          Yes         No          No          No     
 20220223  IFQU0223      No          No          Yes         No          Yes         No          No          No          No          No          Yes         Yes         No          Yes         No          No          No          Yes         No          No     
 20220224  JUCY0224      No          No          No          Yes         No          Yes         No          Yes         No          No          No          Yes         Yes         No          No          No          No          No          Yes         Yes    
 20220225  KEBM0225      Yes         No          Yes         No          No          Yes         No          No          No          No          No          No          No          Yes         No          Yes         No          Yes         No          No     
 20220226  PNXT0226      Yes         No          No          No          Yes         No          No          No          Yes         Yes         Yes         Yes         No          No          No          No          No          Yes         No          No     
 20220227  ROWW0227      No          No          No          No          No          No          Yes         Yes         No          No          Yes         Yes         Yes         No          Yes         No          No          No          No          No     
 20220228  EKSD0228      No          Yes         Yes         Yes         No          No          No          No          No          No          Yes         No          No          No          No          Yes         No          No          No          No     
 20220229  PGJP0229      No          No          No          No          No          No          No          No          Yes         Yes         Yes         Yes         Yes         No          No          Yes         No          No          No          Yes    
 20220230  OAMU0230      No          No          Yes         Yes         No          Yes         No          Yes         No          Yes         Yes         No          No          No          No          Yes         No          No          No          No     
 20220231  UVSK0231      Yes         Yes         No          Yes         No          No          No          No          No          No          No          Yes         No          Yes         No          No          No          Yes         No          No     
 20220232  YILH0232      No          No          No          No          Yes         No          No          No          No          No          No          Yes         No          Yes         Yes         Yes         No          No          No          Yes    
 20220233  OZMH0233      Yes         No          No          No          Yes         Yes         No          No          No          No          No          No          No          No          Yes         No          Yes         No          Yes         No     
 20220234  TOOZ0234      Yes         No          No          No          No          No          No          Yes         No          No          No          Yes         No          Yes         No          Yes         No          No          Yes         No     
 20220235  VUZO0235      Yes         Yes         No          No          No          No          No          No          Yes         No          No          No          Yes         No          No          No          Yes         Yes         No          No     
 20220236  UTXD0236      Yes         No          No          No          No          No          No          No          Yes         Yes         Yes         No          No          No          Yes         No          Yes         No          No          Yes    
 20220237  BATL0237      Yes         No          Yes         No          Yes         No          Yes         Yes         No          No          No          No          No          No          No          No          No          No          No          No     
 20220238  NORB0238      Yes         Yes         No          No          No          No          No          No          No          No          Yes         No          Yes         No          Yes         Yes         No          Yes         No          No     
 20220239  MCXH0239      No          No          Yes         No          Yes         No          No          No          No          No          No          No          Yes         Yes         No          Yes         No          Yes         No          Yes    
 20220240  NMXS0240      No          No          No          No          No          No          No          No          No          No          No          Yes         Yes         Yes         Yes         No          Yes         Yes         Yes         No     
 20220241  EALV0241      No          No          No          No          Yes         No          Yes         No          No          No          Yes         No          No          Yes         Yes         No          No          No          No          Yes    
 20220242  EUEW0242      No          No          Yes         Yes         Yes         No          Yes         No          No          Yes         No          Yes         No          No          No          Yes         No          No          No          No     
 20220243  KUCE0243      No          No          No          No          Yes         No          Yes         No          No          Yes         Yes         No          No          No          No          No          No          Yes         No          No     
 20220244  TUCH0244      No          No          Yes         Yes         No          No          Yes         No          Yes         No          No          No          Yes         No          Yes         Yes         No          No          No          No     
 20220245  WDWN0245      No          Yes         Yes         No          Yes         No          No          No          No          Yes         No          No          No          Yes         No          No          No          No          Yes         No     
 20220246  KHSB0246      Yes         No          Yes         No          No          No          No          No          Yes         No          No          Yes         No          No          No          No          Yes         No          Yes         No     
 20220247  UGZG0247      No          No          No          No          Yes         Yes         No          No          Yes         Yes         No          No          No          No          No          No          Yes         No          Yes         No     
 20220248  TOLJ0248      No          Yes         No          No          No          No          No          Yes         Yes         No          No          Yes         Yes         No          No          No          No          No          No          Yes    
 20220249  VDHJ0249      No          Yes         No          No          No          Yes         No          No          No          No          No          No          No          No          No          No          Yes         No          Yes         Yes    
 20220250  IXGX0250      No          No          No          No          No          No          No          No          Yes         No          No          Yes         Yes         Yes         Yes         Yes         No          Yes         No          No     
 20220251  QCUP0251      Yes         No          Yes         No          No          No          No          No          No          Yes         No          No          Yes         Yes         Yes         No          No          No          No          No     
 20220252  OKRC0252      Yes         Yes         No          No          No          No          No          No          No          Yes         No          Yes         No          No          No          Yes         No          No          No          Yes    
 20220253  EMMA0253      Yes         Yes         No          Yes         No          No          Yes         No          No          No          Yes         No          Yes         No          No          No          No          No          Yes         No     
 20220254  STOM0254      No          No          Yes         Yes         No          No          No          No          No          Yes         Yes         Yes         No          No          Yes         No          No          No          No          Yes    
 20220255  BADA0255      Yes         No          No          No          No          No          Yes         No          Yes         No          Yes         No          No          No          No          Yes         No          No          Yes         Yes    
 20220256  PSTR0256      Yes         No          No          No          No          No          No          Yes         Yes         Yes         No          Yes         Yes         No          No          No          No          No          No          No     
 20220257  HXJS0257      No          No          No          No          Yes         No          Yes         No          No          No          Yes         No          No          Yes         Yes         No          No          Yes         No          No     
 20220258  KHPH0258      No          No          No          No          Yes         Yes         No          No          No          Yes         Yes         No          No          Yes         Yes         No          No          No          No          No     
 20220259  AGVQ0259      Yes         Yes         No          No          No          No          No          Yes         Yes         No          No          No          No          No          No          Yes         No          No          No          Yes    
 20220260  ALFE0260      No          Yes         No          No          No          No          No          No          Yes         Yes         No          No          No          No          No          No          Yes         No          No          No     
 20220261  WOBJ0261      Yes         No          No          Yes         No          No          No          No          No          Yes         No          Yes         No          No          No          No          Yes         No          No          No     
 20220262  UKZR0262      Yes         No          No          No          No          Yes         No          No          No          No          No          No          Yes         No          Yes         Yes         Yes         Yes         No          No     
 20220263  QZJA0263      No          Yes         No          Yes         No          Yes         No          No          Yes         Yes         No          No          No          No          Yes         No          Yes         No          No          No     
 20220264  ZPHL0264      No          No          No          No          Yes         Yes         No          No          No          No          No          Yes         No          Yes         No          Yes         No          No          No          Yes    
 20220265  IWEE0265      Yes         No          Yes         No          No          No          No          No          No          No          Yes         Yes         Yes         Yes         No          No          No          No          No          No     
 20220266  ESRZ0266      Yes         No          No          Yes         No          No          Yes         Yes         No          No          No          No          No          No          No          No          Yes         No          Yes         No     
 20220267  FWVD0267      No          Yes         Yes         No          Yes         No          Yes         No          Yes         No          No          Yes         No          No          No          No          Yes         No          No          No     
 20220268  GOFD0268      No          Yes         No          Yes         No          No          No          No          No          Yes         No          Yes         No          No          No          Yes         No          Yes         No          Yes    
 20220269  AOBB0269      Yes         Yes         No          No          No          Yes         No          No          Yes         No          No          No          Yes         Yes         No          Yes         No          No          No          No     
 20220270  RFOK0270      No          Yes         No          No          No          No          Yes         Yes         No          No          No          Yes         No          Yes         Yes         No          No          No          No          No     
 20220271  FXYA0271      No          No          No          Yes         No          No          No          No          No          No          No          Yes         Yes         No          Yes         No          No          Yes         No          Yes    
 20220272  JDPT0272      No          No          Yes         No          No          No          No          Yes         No          Yes         No          No          No          No          No          Yes         No          Yes         No          Yes    
 20220273  OBVL0273      No          No          Yes         Yes         No          No          Yes         No          Yes         No          No          Yes         No          No          No          Yes         No          Yes         No          No     
 20220274  WOMM0274      No          No          No          No          No          No          Yes         Yes         No          No          Yes         No          No          Yes         No          Yes         No          No          No          Yes    
 20220275  PTRU0275      No          Yes         Yes         Yes         No          No          No          Yes         No          No          Yes         Yes         No          No          No          No          No          No          No          No     
 20220276  HAFW0276      Yes         No          Yes         No          No          No          Yes         No          No          No          No          No          No          No          Yes         No          Yes         Yes         No          No     
 20220277  OMLK0277      No          No          Yes         No          Yes         Yes         No          No          Yes         No          No          No          No          No          No          Yes         No          No          No          Yes    
 20220278  QFXA0278      No          Yes         No          No          Yes         Yes         No          No          No          No          No          Yes         Yes         No          No          Yes         No          No          No          No     
 20220279  GLBE0279      No          No          Yes         Yes         No          No          No          No          Yes         No          No          No          No          No          No          No          Yes         No          No          No     
 20220280  QNOJ0280      No          No          No          No          Yes         Yes         No          Yes         No          Yes         No          No          Yes         No          Yes         No          No          No          No          No     
 20220281  SQMB0281      No          No          No          No          No          No          Yes         No          No          Yes         No          Yes         No          No          No          No          No          Yes         Yes         No     
 20220282  KTMC0282      No          Yes         No          No          No          No          No          Yes         No          No          No          Yes         Yes         No          No          Yes         No          Yes         No          Yes    
 20220283  PNJS0283      Yes         Yes         No          No          No          No          No          No          No          No          No          No          Yes         Yes         No          No          No          Yes         No          No     
 20220284  OWWR0284      Yes         No          No          No          No          No          No          Yes         No          Yes         No          No          No          No          No          No          No          No          Yes         No     
 20220285  MUCS0285      No          Yes         No          Yes         No          Yes         No          No          No          No          No          No          Yes         No          Yes         No          Yes         No          No          No     
 20220286  HCPP0286      No          No          No          No          No          No          No          No          No          No          Yes         Yes         No          Yes         Yes         No          No          Yes         No          No     
 20220287  LNMU0287      No          No          No          No          Yes         Yes         No          No          No          No          No          No          Yes         No          Yes         No          Yes         Yes         No          No     
 20220288  RKBV0288      Yes         No          No          No          No          Yes         No          No          No          No          Yes         No          No          Yes         Yes         No          No          Yes         No          No     
 20220289  OHCH0289      No          Yes         No          Yes         Yes         No          No          No          No          Yes         Yes         No          Yes         No          No          No          No          No          Yes         No     
 20220290  GBQY0290      No          No          Yes         No          Yes         No          No          Yes         No          No          No          No          No          No          Yes         Yes         Yes         Yes         No          No     
 20220291  LWOJ0291      No          No          No          Yes         Yes         No          No          No          Yes         Yes         No          No          Yes         No          No          No          No          No          No          Yes    
 20220292  RWJS0292      Yes         No          No          Yes         No          Yes         No          No          No          Yes         No          No          No          No          No          Yes         No          No          Yes         No     
 20220293  AQUB0293      No          No          Yes         No          No          Yes         No          No          No          No          No          No          No          Yes         Yes         No          No          No          Yes         No     
 20220294  DETC0294      No          Yes         No          No          No          No          Yes         No          No          No          Yes         No          No          No          Yes         No          No          No          Yes         Yes    
 20220295  KMQU0295      Yes         No          No          Yes         No          No          No          No          Yes         Yes         No          No          No          Yes         Yes         No          No          No          No          Yes    
 20220296  WXIA0296      Yes         No          No          No          Yes         No          No          No          No          Yes         No          No          No          No          No          Yes         No          No          Yes         Yes    
 20220297  LOFB0297      Yes         Yes         No          No          No          No          Yes         No          No          No          No          No          Yes         No          No          Yes         No          Yes         No          No     
 20220298  ALJN0298      Yes         Yes         No          No          Yes         No          No          No          No          No          No          No          Yes         No          No          Yes         No          No          Yes         No     
 20220299  RHWJ0299      No          No          Yes         Yes         No          Yes         No          No          No          No          No          No          No          Yes         Yes         No          Yes         Yes         No          No     
 20220300  DAVJ0300      Yes         No          No          Yes         No          No          No          Yes         No          No          No          Yes         Yes         No          No          Yes         No          No          No          Yes    
 20220301  HTVX0301      Yes         No          No          Yes         No          No          No          No          No          Yes         No          No          No          Yes         Yes         No          No          Yes         No          No     
 20220302  GBGX0302      No          Yes         Yes         Yes         No          No          No          No          No          Yes         No          No          Yes         No          Yes         No          Yes         No          No          No     
 20220303  MTJO0303      No          No          Yes         No          No          No          Yes         No          No          No          Yes         No          Yes         Yes         No          No          No          No          No          Yes    
 20220304  RFWR0304      No          No          No          No          No          No          No          Yes         No          No          No          No          Yes         Yes         Yes         Yes         No          Yes         Yes         No     
 20220305  NGTY0305      No          No          No          No          No          No          No          Yes         Yes         No          Yes         No          Yes         No          No          Yes         No          No          Yes         Yes    
 20220306  RSZA0306      No          No          No          No          No          No          No          Yes         No          No          No          Yes         No          Yes         Yes         Yes         No          No          Yes         No     
 20220307  DPMT0307      No          No          Yes         No          No          No          Yes         No          No          No          No          Yes         Yes         No          No          No          Yes         No          No          No     
 20220308  KSSB0308      Yes         No          No          No          Yes         Yes         No          No          No          Yes         No          No          Yes         Yes         No          No          No          Yes         No          No     
 20220309  GCBE0309      No          No          No          No          Yes         No          Yes         Yes         No          Yes         No          No          No          No          No          No          Yes         No          No          Yes    
 20220310  ZBOF0310      No          Yes         No          Yes         Yes         No          Yes         No          Yes         No          No          No          No          No          No          Yes         No          No          No          No     
 20220311  PYDV0311      No          Yes         No          No          No          No          Yes         No          No          No          Yes         No          No          No          No          No          No          No          No          Yes    
 20220312  KTGB0312      Yes         Yes         Yes         No          No          Yes         No          No          No          No          No          No          No          No          Yes         No          No          No          No          Yes    
 20220313  NYCI0313      Yes         No          No          No          No          No          Yes         No          Yes         No          No          No          Yes         No          No          Yes         No          No          No          Yes    
 20220314  DWAZ0314      No          No          No          No          Yes         No          Yes         Yes         No          No          No          Yes         Yes         No          Yes         No          No          No          No          Yes    
 20220315  YEXX0315      No          No          No          No          No          No          No          No          No          Yes         No          Yes         No          Yes         No          No          No          Yes         Yes         Yes    
 20220316  YNRV0316      No          No          Yes         No          Yes         Yes         Yes         No          Yes         No          No          No          No          Yes         No          No          No          Yes         No          No     
 20220317  BPCU0317      No          No          No          No          Yes         No          Yes         No          No          Yes         Yes         Yes         No          No          No          No          No          No          Yes         No     
 20220318  PAFX0318      No          No          No          No          No          No          No          No          No          No          No          No          No          Yes         Yes         No          No          Yes         No          Yes    
 20220319  HCKS0319      No          No          No          No          No          Yes         No          No          No          No          Yes         Yes         Yes         Yes         No          No          No          No          Yes         No     
 20220320  EBCU0320      No          Yes         No          No          No          Yes         No          Yes         No          No          No          Yes         No          No          No          Yes         Yes         No          No          No     
 20220321  HXIV0321      Yes         No          No          No          No          No          No          No          Yes         Yes         No          Yes         No          No          No          Yes         No          No          No          No     
 20220322  ADUZ0322      No          Yes         Yes         No          No          No          Yes         No          Yes         No          No          No          No          No          Yes         No          No          No          No          Yes    
 20220323  LNOH0323      No          No          Yes         No          Yes         No          No          No          Yes         No          Yes         No          No          No          No          No          Yes         No          No          Yes    
 20220324  JQFI0324      No          No          No          Yes         No          Yes         No          No          Yes         No          Yes         No          No          No          No          No          Yes         No          No          No     
 20220325  BMGK0325      No          Yes         No          Yes         No          Yes         No          No          No          No          No          Yes         Yes         No          No          No          No          No          No          Yes    
 20220326  SYTA0326      No          Yes         No          No          No          Yes         No          Yes         No          No          No          No          No          No          No          No          No          Yes         Yes         Yes    
 20220327  WWTS0327      No          No          No          No          Yes         No          Yes         No          No          Yes         Yes         No          Yes         No          No          Yes         Yes         No          No          No     
 20220328  VHEW0328      No          No          Yes         No          Yes         Yes         No          No          No          No          No          Yes         No          No          No          No          No          No          No          No     
 20220329  OQJL0329      Yes         No          No          Yes         Yes         No          No          No          No          Yes         No          No          No          No          Yes         No          No          Yes         No          Yes    
 20220330  IOXL0330      Yes         No          No          No          No          No          No          No          No          No          No          No          No          Yes         Yes         No          Yes         No          No          No     
 20220331  ORYJ0331      Yes         No          Yes         Yes         No          No          No          Yes         No          No          No          Yes         Yes         No          No          Yes         No          No          No          No     
 20220332  USRR0332      Yes         No          No          No          Yes         Yes         No          No          No          No          No          Yes         No          No          No          No          No          No          Yes         No     
 20220333  FEGZ0333      Yes         No          No          No          No          No          No          No          Yes         Yes         No          No          No          No          Yes         Yes         No          No          Yes         No     
 20220334  WDOX0334      No          No          No          No          No          No          Yes         No          No          No          Yes         No          Yes         No          Yes         No          Yes         No          No          No     
 20220335  TZQE0335      No          No          No          Yes         No          Yes         No          No          No          Yes         No          No          No          Yes         No          Yes         Yes         No          No          No     
 20220336  DGSJ0336      No          No          No          No          No          No          Yes         No          No          No          No          Yes         No          Yes         Yes         No          No          No          Yes         Yes    
 20220337  CAKM0337      No          Yes         Yes         No          No          No          Yes         No          No          No          Yes         No          No          No          No          No          Yes         No          No          Yes    
 20220338  LGES0338      No          No          No          No          No          Yes         No          Yes         No          No          Yes         Yes         No          No          Yes         Yes         No          No          Yes         No     
 20220339  BGQS0339      Yes         Yes         No          No          No          Yes         No          Yes         No          Yes         Yes         No          No          No          No          No          Yes         No          No          No     
 20220340  HWGT0340      No          No          Yes         Yes         No          No          Yes         No          No          No          Yes         No          No          Yes         No          No          Yes         No          No          No     
 20220341  TPIS0341      No          No          No          No          No          Yes         No          No          No          Yes         No          Yes         No          No          No          No          Yes         Yes         No          No     
 20220342  GZEE0342      Yes         No          No          Yes         No          No          Yes         No          No          No          No          No          No          No          No          No          Yes         Yes         No          No     
 20220343  SXUM0343      Yes         No          Yes         No          No          Yes         No          Yes         No          No          No          No          No          Yes         Yes         No          No          Yes         No          No     
 20220344  ACLH0344      No          No          Yes         No          No          Yes         No          Yes         No          No          No          Yes         No          No          No          No          No          Yes         Yes         Yes    
 20220345  MGOU0345      No          No          Yes         No          No          No          No          Yes         No          No          Yes         No          No          Yes         Yes         No          No          No          No          Yes    
 20220346  CJIY0346      No          No          Yes         No          Yes         No          No          Yes         Yes         No          No          No          Yes         No          No          Yes         No          No          No          No     
 20220347  AYIG0347      No          No          No          Yes         No          No          No          Yes         No          No          No          No          Yes         Yes         Yes         No          No          No          No          No     
 20220348  NPDG0348      No          Yes         No          No          No          Yes         Yes         No          Yes         No          No          Yes         No          No          No          No          Yes         No          No          Yes    
 20220349  QQAB0349      No          No          Yes         No          Yes         Yes         No          Yes         Yes         No          No          Yes         No          No          No          No          No          No          No          Yes    
 20220350  POEW0350      No          No          No          No          No          No          No          Yes         No          Yes         No          No          No          No          Yes         Yes         Yes         No          Yes         No     
 20220351  RFDT0351      No          Yes         No          No          No          Yes         No          Yes         Yes         No          No          No          Yes         No          No          No          Yes         No          No          No     
 20220352  YRRB0352      No          No          No          Yes         No          No          No          Yes         No          No          No          Yes         No          No          Yes         No          No          Yes         Yes         No     
 20220353  OHJZ0353      Yes         No          No          No          Yes         No          No          No          No          No          No          Yes         Yes         No          No          Yes         No          Yes         No          No     
 20220354  QJHP0354      No          Yes         Yes         No          No          Yes         No          Yes         No          No          No          No          Yes         No          No          No          No          Yes         No          No     
 20220355  LXKM0355      Yes         No          Yes         No          No          No          No          No          No          Yes         No          No          No          Yes         No          No          Yes         No          No          Yes    
 20220356  HWYG0356      No          No          No          No          No          No          Yes         No          Yes         No          No          Yes         No          Yes         No          No          No          Yes         Yes         No     
 20220357  JOYR0357      No          No          No          No          No          No          No          Yes         Yes         No          No          No          No          Yes         Yes         No          Yes         No          No          No     
 20220358  DJVO0358      Yes         No          No          Yes         No          No          No          No          Yes         No          Yes         No          Yes         No          No          No          No          No          Yes         No     
 20220359  ATNH0359      No          No          No          No          No          No          Yes         No          Yes         No          Yes         Yes         No          No          No          Yes         No          No          Yes         No     
 20220360  MPFS0360      Yes         No          No          Yes         No          Yes         Yes         No          No          No          No          No          No          Yes         No          No          No          No          No          Yes    
 20220361  MTQZ0361      No          Yes         No          No          No          No          Yes         Yes         No          Yes         No          No          No          No          No          No          Yes         No          No          No     
 20220362  FKAN0362      Yes         No          No          Yes         No          Yes         No          No          No          No          No          Yes         No          No          Yes         No          Yes         No          No          No     
 20220363  CIBC0363      Yes         No          Yes         No          No          No          Yes         No          No          Yes         No          No          No          Yes         No          Yes         No          No          No          No     
 20220364  NPWO0364      No          Yes         No          No          No          No          No          Yes         Yes         Yes         No          Yes         No          No          No          Yes         No          Yes         No          No     
 20220365  URKX0365      No          No          No          Yes         Yes         No          Yes         No          No          Yes         No          No          No          No          No          Yes         No          No          No          Yes    
 20220366  SLEC0366      No          No          No          No          No          No          No          No          No          Yes         Yes         No          No          Yes         No          No          Yes         Yes         No          No     
 20220367  RFVO0367      No          No          No          No          Yes         Yes         No          Yes         No          No          Yes         Yes         Yes         No          No          Yes         No          No          No          No     
 20220368  XRRW0368      Yes         No          Yes         No          Yes         No          Yes         No          No          No          No          No          Yes         No          No          Yes         No          No          Yes         No     
 20220369  KVHI0369      Yes         No          No          No          No          No          No          Yes         Yes         No          No          No          No          No          Yes         No          Yes         Yes         No          No     
 20220370  FVYN0370      No          No          No          Yes         Yes         No          No          Yes         No          No          Yes         No          No          No          Yes         Yes         No          No          No          No     
 20220371  ZGDG0371      Yes         Yes         No          No          Yes         Yes         No          Yes         No          No          No          No          No          Yes         No          No          Yes         No          No          No     
 20220372  CWOJ0372      Yes         No          No          No          No          No          Yes         No          No          No          No          No          No          No          Yes         Yes         Yes         No          No          No     
 20220373  EFOU0373      Yes         No          Yes         No          No          No          Yes         Yes         No          No          No          No          No          No          Yes         No          No          Yes         No          No     
 20220374  ZEZU0374      No          No          No          No          No          No          No          Yes         Yes         No          No          Yes         No          Yes         No          No          No          Yes         No          Yes    
 20220375  UMAU0375      Yes         No          No          No          No          No          No          No          Yes         No          No          Yes         Yes         No          No          No          Yes         No          No          No     
 20220376  VGWV0376      No          Yes         Yes         No          No          No          Yes         Yes         No          No          No          No          No          Yes         Yes         Yes         No          No          No          No     
 20220377  VPND0377      No          No          No          No          No          Yes         No          Yes         No          No          Yes         Yes         No          No          No          Yes         No          Yes         No          No     
 20220378  AWHA0378      Yes         No          Yes         Yes         Yes         No          No          No          No          No          No          No          Yes         No          No          No          Yes         No          No          No     
 20220379  UNQR0379      Yes         No          No          No          No          No          No          No          Yes         No          No          Yes         Yes         Yes         No          No          Yes         No          No          No     
 20220380  APLC0380      No          No          No          Yes         No          No          Yes         Yes         No          No          No          No          Yes         No          Yes         Yes         No          No          No          No     
 20220381  KZKZ0381      No          No          No          No          Yes         No          No          No          Yes         Yes         Yes         No          No          Yes         No          No          No          No          Yes         No     
 20220382  WREH0382      No          No          No          No          No          Yes         Yes         No          No          No          Yes         No          No          No          Yes         No          No          Yes         No          Yes    
 20220383  YNLI0383      No          No          No          Yes         No          No          No          No          Yes         Yes         No          No          No          Yes         Yes         No          Yes         No          No          Yes    
 20220384  JZEB0384      Yes         No          No          Yes         No          No          No          No          No          No          No          No          Yes         No          No          No          No          No          Yes         Yes    
 20220385  MSWR0385      No          No          No          No          No          No          No          No          Yes         No          Yes         Yes         Yes         Yes         No          No          No          No          Yes         No     
 20220386  FDTR0386      Yes         No          No          No          Yes         Yes         Yes         Yes         No          No          Yes         No          No          No          No          No          Yes         No          No          No     
 20220387  OKQB0387      No          Yes         No          No          No          Yes         No          No          Yes         Yes         No          No          No          No          No          No          No          Yes         No          Yes    
 20220388  OBWD0388      Yes         No          No          Yes         No          No          Yes         No          No          No          No          Yes         Yes         No          No          No          No          No          Yes         Yes    
 20220389  XQCY0389      No          Yes         No          No          Yes         No          Yes         No          No          No          Yes         No          No          No          No          No          No          No          Yes         No     
 20220390  VDTG0390      No          No          No          No          Yes         No          Yes         Yes         No          Yes         Yes         No          Yes         No          No          Yes         No          No          No          No     
 20220391  EYEK0391      No          Yes         Yes         No          No          Yes         No          No          No          No          Yes         No          Yes         No          No          No          Yes         No          No          No     
 20220392  YJJM0392      Yes         No          Yes         Yes         No          No          No          No          No          No          No          No          Yes         No          No          Yes         Yes         No          Yes         No     
 20220393  XIJK0393      No          Yes         No          No          Yes         No          Yes         No          Yes         No          No          No          No          No          No          Yes         No          Yes         No          No     
 20220394  XWTE0394      Yes         No          No          No          Yes         Yes         No          No          No          No          Yes         No          Yes         No          No          Yes         No          No          No          No     
 20220395  DECL0395      No          Yes         No          No          No          No          No          No          No          No          No          No          Yes         Yes         No          Yes         No          No          No          Yes    
 20220396  NTRW0396      No          No          No          No          No          Yes         No          No          Yes         Yes         Yes         Yes         Yes         No          No          No          No          Yes         No          No     
 20220397  LOCX0397      Yes         No          No          No          Yes         No          Yes         No          No          No          Yes         No          Yes         No          No          Yes         No          No          No          No     
 20220398  TZSI0398      No          Yes         Yes         Yes         No          No          No          No          No          No          Yes         No          No          Yes         No          No          Yes         No          No          No     
 20220399  HDKV0399      No          Yes         No          Yes         No          No          No          No          No          No          No          No          No          No          Yes         No          No          No          Yes         No     
 20220400  MQAC0400      No          No          Yes         Yes         No          No          No          No          No          Yes         Yes         No          Yes         No          Yes         Yes         No          No          No          No     
 20220401  OAEY0401      No          Yes         No          No          Yes         No          No          No          No          No          Yes         No          No          No          No          Yes         No          Yes         Yes         No     
 20220402  GPQI0402      No          Yes         No          No          Yes         Yes         Yes         No          No          Yes         No          No          No          Yes         No          No          No          No          Yes         No     
 20220403  MWBX0403      Yes         No          No          Yes         No          No          No          Yes         Yes         No          No          No          No          No          Yes         Yes         Yes         No          No          No     
 20220404  XHOX0404      No          Yes         No          No          No          Yes         Yes         No          No          Yes         No          No          No          No          No          No          No          No          Yes         No     
 20220405  IKXR0405      No          Yes         No          No          No          Yes         Yes         Yes         No          No          Yes         No          No          No          No          No          Yes         Yes         No          No     
 20220406  LSGC0406      Yes         No          No          Yes         No          No          Yes         Yes         No          No          No          No          No          No          No          No          No          No          No          Yes    
 20220407  GDJW0407      No          No          No          Yes         No          No          No          No          No          Yes         Yes         No          No          No          No          Yes         No          No          Yes         No     
 20220408  OUSP0408      No          Yes         Yes         No          No          No          No          No          No          No          Yes         No          No          No          No          No          No          Yes         Yes         No     
 20220409  VVZG0409      No          No          No          No          Yes         Yes         No          No          No          Yes         No          No          Yes         No          No          Yes         No          Yes         No          Yes    
 20220410  SMGD0410      No          No          Yes         No          Yes         No          No          Yes         No          Yes         Yes         No          No          No          No          No          Yes         No          No          Yes    
 20220411  CCTZ0411      No          No          No          No          No          Yes         No          No          Yes         Yes         Yes         No          Yes         No          No          No          Yes         No          No          No     
 20220412  DJYC0412      Yes         Yes         Yes         No          No          No          No          No          No          No          No          No          No          Yes         No          No          No          No          No          No     
 20220413  BDKQ0413      No          No          Yes         Yes         Yes         No          No          Yes         No          Yes         No          No          No          No          Yes         Yes         No          No          No          No     
 20220414  QNSF0414      Yes         No          No          Yes         No          No          Yes         No          No          No          No          No          No          No          No          No          No          No          Yes         Yes    
 20220415  UWRF0415      Yes         Yes         No          No          No          No          No          No          No          No          No          Yes         No          Yes         No          No          Yes         No          Yes         No     
 20220416  DQSI0416      No          No          No          No          No          Yes         Yes         Yes         No          No          No          No          No          Yes         Yes         No          No          No          No          No     
 20220417  FNRY0417      Yes         No          No          No          No          No          Yes         No          No          No          No          No          No          No          Yes         Yes         Yes         No          Yes         No     
 20220418  BJDX0418      No          No          No          No          Yes         Yes         No          Yes         No          No          No          No          No          Yes         Yes         No          No          No          Yes         Yes    
 20220419  PDVY0419      No          Yes         No          Yes         No          No          No          No          No          No          No          No          No          Yes         No          Yes         Yes         No          No          No     
 20220420  EZOF0420      No          No          Yes         Yes         Yes         Yes         No          No          No          No          No          No          No          No          No          Yes         Yes         No          No          No     
 20220421  GZST0421      No          No          No          Yes         Yes         No          No          No          No          Yes         No          No          No          Yes         No          No          No          No          No          Yes    
 20220422  UXEV0422      No          No          No          No          Yes         No          No          No          No          Yes         No          No          Yes         No          Yes         Yes         Yes         No          No          No     
